parent,label,updated,date,confirmed,recovered,deaths,lon,lat,source,source_url,scraper
USA,Texas,1584558874000,2020-03-18T20:14:34+01:00,166,0,3,-97.563461,31.054487,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Virginia,1584557583000,2020-03-18T19:53:03+01:00,77,0,2,-78.17,37.7693,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,https://github.com/CSSEGISandData/COVID-19,hopkins.github
global,Montenegro,1584557583000,2020-03-18T19:53:03+01:00,1,0,0,19.3744,42.7087,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,https://github.com/CSSEGISandData/COVID-19,hopkins.github
global,Algerien,1584558873000,2020-03-18T20:14:33+01:00,72,12,6,1.6596,28.0339,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
global,Mauritius,1584557583000,2020-03-18T19:53:03+01:00,3,0,0,57.5,-20.2,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,https://github.com/CSSEGISandData/COVID-19,hopkins.github
USA,Montana,1584559983000,2020-03-18T20:33:03+01:00,11,0,0,-110.454353,46.921925,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,New York,1584559983000,2020-03-18T20:33:03+01:00,2495,0,16,-74.948051,42.165726,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,US,1584559983000,2020-03-18T20:33:03+01:00,1,106,0,-95.7129,37.0902,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Rhode Island,1584559983000,2020-03-18T20:33:03+01:00,33,0,0,-71.51178,41.680893,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,North Dakota,1584559983000,2020-03-18T20:33:03+01:00,6,0,0,-99.784012,47.528912,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Louisiana,1584559983000,2020-03-18T20:33:03+01:00,257,0,4,-91.867805,31.169546,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Arkansas,1584559983000,2020-03-18T20:33:03+01:00,33,0,0,-92.373123,34.969704,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Alabama,1584559983000,2020-03-18T20:33:03+01:00,46,0,0,-86.9023,32.3182,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Maine,1584559983000,2020-03-18T20:33:03+01:00,42,0,0,-69.381927,44.693947,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Vermont,1584559983000,2020-03-18T20:33:03+01:00,18,0,0,-72.710686,44.045876,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Missouri,1584559983000,2020-03-18T20:33:03+01:00,18,0,0,-92.288368,38.456085,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Delaware,1584559983000,2020-03-18T20:33:03+01:00,19,0,0,-75.507141,39.318523,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Indiana,1584559983000,2020-03-18T20:33:03+01:00,39,0,2,-86.258278,39.849426,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Arizona,1584559983000,2020-03-18T20:33:03+01:00,27,0,0,-111.431221,33.729759,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Mississippi,1584559983000,2020-03-18T20:33:03+01:00,34,0,0,-89.678696,32.741646,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
global,Oman,1584559982000,2020-03-18T20:33:02+01:00,39,12,0,55.9754,21.4735,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,California,1584558874000,2020-03-18T20:14:34+01:00,751,0,13,-119.681564,36.116203,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Tennessee,1584558874000,2020-03-18T20:14:34+01:00,79,0,0,-86.692345,35.747845,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Minnesota,1584558874000,2020-03-18T20:14:34+01:00,77,0,0,-93.900192,45.694454,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
USA,Pennsylvania,1584558874000,2020-03-18T20:14:34+01:00,152,0,0,-77.209755,40.590752,Coronavirus COVID-19 Global Cases by Johns Hopkins CSSE,https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,hopkins.arcgis
